Attr 1	Attr 2	Attr 3	Attr 4	Attr 5	Attr 6	Attr 7	Attr 8	Attr 9	Attr 10	Attr 11	Attr 12	Attr 13	Attr 14	Attr 15	

0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	
0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	
1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	
0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	
0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	
1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	
0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	
1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	
0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	
0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	
